OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.923309-0.11367511749267578" 
2, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.923309-0.086542770266532898" 
2, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.923309-0.21486189961433411" 
2, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.923309-0.20072920620441437" 
2, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.923309-0.59314113855361938" 
2, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.923309-0.48248621821403503" 
2, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.923309-0.060366600751876831" 
2, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.923309-0.056837558746337891" 
2, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.923309-0.043271385133266449" 
2, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.923309-0.10743094980716705" 
2, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.923309-0.10036460310220718" 
2, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923309-0.29657056927680969" 
2, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.923309-0.24124310910701752" 
2, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "0.923309+0.12073320150375366" 
2, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "0.923309+0.11367511749267578" 
2, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "0.923309+0.086542770266532898" 
2, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "0.923309+0.21486189961433411" 
2, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "0.923309+0.20072920620441437" 
2, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "0.923309+0.59314113855361938" 
2, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "0.923309+0.48248621821403503" 
2, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.923309+0.060366600751876831" 
2, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "0.923309+0.056837558746337891" 
2, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "0.923309+0.043271385133266449" 
2, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.923309+0.10743094980716705" 
2, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "0.923309+0.10036460310220718" 
2, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "0.923309+0.29657056927680969" 
2, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "0.923309+0.24124310910701752" 
0, mujets, central, 2, -2.4, 2.4, 30, 670, 0, 1, "1."
0, mujets, up,      2, -2.4, 2.4, 30, 670, 0, 1, "1.+0.15"
0, mujets, down,    2, -2.4, 2.4, 30, 670, 0, 1, "1.-0.15"
1, mujets, central, 2, -2.4, 2.4, 30, 670, 0, 1, "1."
1, mujets, up,      2, -2.4, 2.4, 30, 670, 0, 1, "1.+0.20"
1, mujets, down,    2, -2.4, 2.4, 30, 670, 0, 1, "1.-0.20"
2, mujets, central, 2, -2.4, 2.4, 30, 670, 0, 1, "1."
2, mujets, up,      2, -2.4, 2.4, 30, 670, 0, 1, "1.+0.40"
2, mujets, down,    2, -2.4, 2.4, 30, 670, 0, 1, "1.-0.40"
